City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olafsvik,64.8945,-23.7142,-2.14,49,100,11.07,IS,1675834465
1,bauchi,10.5,10.0,16.81,27,80,2.06,NG,1675834868
2,cabo san lucas,22.8909,-109.9124,20.28,53,89,0.89,MX,1675834640
3,tingo maria,-9.2895,-76.0088,19.89,98,58,0.58,PE,1675834869
4,bredasdorp,-34.5322,20.0403,21.14,67,4,5.82,ZA,1675834869
5,busselton,-33.65,115.3333,28.89,43,0,4.55,AU,1675834870
6,sitio novo do tocantins,-5.5183,-47.4611,24.96,88,0,1.03,BR,1675834870
7,severo-kurilsk,50.6789,156.125,-4.79,73,32,5.23,RU,1675834871
8,dutse,11.7594,9.3392,16.45,26,80,3.07,NG,1675834871
9,bambous virieux,-20.3428,57.7575,29.01,74,75,6.69,MU,1675834872
10,coquimbo,-29.9533,-71.3436,17.85,88,100,1.03,CL,1675834856
11,hobart,-42.8794,147.3294,20.15,62,40,6.69,AU,1675834671
12,ushuaia,-54.8,-68.3,13.81,58,40,5.14,AR,1675834873
13,bluff,-46.6,168.3333,9.89,63,64,12.15,NZ,1675834873
14,punta arenas,-53.15,-70.9167,12.06,76,0,5.14,CL,1675834874
15,librazhd,41.1794,20.315,-3.31,64,2,3.75,AL,1675834874
16,la ronge,55.1001,-105.2842,-2.86,50,0,3.09,CA,1675834874
17,grenaa,56.4158,10.8783,2.0,95,67,6.32,DK,1675834875
18,mataura,-46.1927,168.8643,9.71,82,62,5.07,NZ,1675834875
19,youkounkoun,12.5333,-13.1333,21.82,22,39,0.72,GN,1675834876
20,polunochnoye,60.8697,60.4153,-11.06,82,100,3.04,RU,1675834876
21,sur,22.5667,59.5289,27.64,40,64,1.27,OM,1675834421
22,moranbah,-22.0016,148.0466,29.04,59,69,7.28,AU,1675834877
23,qinhuangdao,39.9317,119.5883,3.07,35,1,3.34,CN,1675834877
24,concordia,-31.393,-58.0209,23.57,36,0,2.47,AR,1675834877
25,rikitea,-23.1203,-134.9692,26.35,73,67,3.79,PF,1675834878
26,road town,18.4167,-64.6167,24.05,72,11,8.73,VG,1675834879
27,sitka,57.0531,-135.33,1.94,80,100,1.54,US,1675834829
28,villa alemana,-33.0422,-71.3733,15.85,88,100,4.12,CL,1675834880
29,kahului,20.8947,-156.47,23.8,79,40,8.75,US,1675834403
30,albany,42.6001,-73.9662,4.38,80,83,1.34,US,1675834767
31,ayan,56.45,138.1667,-25.85,69,36,2.72,RU,1675834881
32,hualmay,-11.0964,-77.6139,22.2,87,25,2.92,PE,1675834881
33,trincomalee,8.5711,81.2335,26.49,77,83,5.13,LK,1675834882
34,kodiak,57.79,-152.4072,-5.27,63,0,6.69,US,1675834882
35,jamestown,42.097,-79.2353,2.79,92,100,2.57,US,1675834883
36,barrow,71.2906,-156.7887,-19.99,77,100,3.09,US,1675834883
37,waingapu,-9.6567,120.2641,29.19,74,72,5.04,ID,1675834568
38,havre-saint-pierre,50.2334,-63.5986,-5.0,79,100,4.63,CA,1675834662
39,egvekinot,66.3167,-179.1667,-29.68,87,89,3.9,RU,1675834598
40,cherskiy,68.75,161.3,-32.48,98,100,2.55,RU,1675834884
41,puerto carreno,6.189,-67.4859,25.51,62,11,2.2,CO,1675834884
42,qaanaaq,77.484,-69.3632,-32.13,67,9,2.84,GL,1675834885
43,chuguyevka,44.1653,133.8633,-9.01,82,93,4.15,RU,1675834886
44,maningrida,-12.0667,134.2667,30.13,70,95,3.32,AU,1675834886
45,asaba,6.2006,6.7338,24.45,87,23,1.14,NG,1675834887
46,san cristobal,7.7669,-72.225,20.1,79,15,0.77,VE,1675834887
47,new norfolk,-42.7826,147.0587,19.95,42,8,1.79,AU,1675834887
48,high level,58.5169,-117.136,-6.94,79,0,1.54,CA,1675834510
49,alofi,-19.0595,-169.9187,26.94,78,100,2.57,NU,1675834888
50,port elizabeth,-33.918,25.5701,20.73,95,75,3.6,ZA,1675834888
51,hilo,19.7297,-155.09,23.49,91,100,1.54,US,1675834889
52,bethel,41.3712,-73.414,3.6,83,20,2.06,US,1675834889
53,zunyi,27.6867,106.9072,6.81,92,100,1.91,CN,1675834890
54,chuy,-33.6971,-53.4616,19.9,88,10,2.72,UY,1675834890
55,mayor pablo lagerenza,-19.9309,-60.7718,22.96,93,100,1.7,PY,1675834891
56,lorengau,-2.0226,147.2712,25.95,89,100,6.22,PG,1675834891
57,arlit,18.7369,7.3853,20.29,17,96,2.8,NE,1675834892
58,valeni,46.5928,28.0625,-5.34,85,72,5.87,RO,1675834892
59,cabedelo,-6.9811,-34.8339,23.37,78,99,4.04,BR,1675834893
60,airai,-8.9266,125.4092,20.69,82,84,1.73,TL,1675834893
61,beringovskiy,63.05,179.3167,-30.64,96,61,3.27,RU,1675834334
62,hermanus,-34.4187,19.2345,21.56,76,0,7.01,ZA,1675834894
63,paita,-5.0892,-81.1144,24.11,79,77,3.46,PE,1675834895
64,nampa,43.5407,-116.5635,7.66,71,100,3.6,US,1675834895
65,leningradskiy,69.3833,178.4167,-31.91,95,100,2.29,RU,1675834896
66,verkh-usugli,52.7,115.1667,-11.03,65,4,1.12,RU,1675834896
67,atuona,-9.8,-139.0333,26.16,75,22,8.15,PF,1675834897
68,padang,-0.9492,100.3543,30.03,60,91,2.58,ID,1675834599
69,mahebourg,-20.4081,57.7,29.03,74,75,6.69,MU,1675834897
70,narsaq,60.9167,-46.05,-18.88,67,32,4.59,GL,1675834898
71,yellowknife,62.456,-114.3525,-19.69,77,100,3.09,CA,1675834898
72,isangel,-19.55,169.2667,27.06,94,100,1.03,VU,1675834899
73,kruisfontein,-34.0033,24.7314,18.27,66,99,2.25,ZA,1675834633
74,san andres,12.5847,-81.7006,27.01,78,20,6.69,CO,1675834899
75,amahai,-3.3333,128.9167,28.78,72,98,2.44,ID,1675834899
76,mookane,-23.688,26.6595,23.75,59,81,1.51,BW,1675834900
77,lufilufi,-13.8745,-171.5986,26.88,75,57,5.83,WS,1675834900
78,vaini,-21.2,-175.2,26.09,94,75,2.57,TO,1675834901
79,norman wells,65.282,-126.8329,-26.98,76,40,1.03,CA,1675834901
80,yantal,56.8471,105.2542,-7.44,87,100,2.89,RU,1675834901
81,sobolevo,54.4299,31.8996,-15.06,99,72,1.87,RU,1675834902
82,simpang,-1.2667,104.0833,31.82,56,99,3.26,ID,1675834902
83,almaznyy,48.0448,40.045,-9.75,86,12,7.74,RU,1675834903
84,cayenne,4.9333,-52.3333,25.02,94,75,0.0,GF,1675834903
85,severodvinsk,64.5635,39.8302,1.06,93,93,3.64,RU,1675834757
86,east london,-33.0153,27.9116,20.52,94,100,6.17,ZA,1675834904
87,gurupi,-11.7292,-49.0686,21.46,94,57,1.31,BR,1675834720
88,atlantic city,39.3643,-74.4229,6.11,88,100,1.54,US,1675834754
89,cape town,-33.9258,18.4232,21.62,72,20,5.81,ZA,1675834754
90,brufut,13.3814,-16.7518,19.05,59,57,2.57,GM,1675834904
91,daru,-9.0763,143.2092,28.18,83,91,3.51,PG,1675834601
92,nabire,-3.3667,135.4833,27.24,76,100,0.95,ID,1675834347
93,xining,36.6167,101.7667,2.36,48,86,1.7,CN,1675834542
94,moose factory,51.2585,-80.6094,-18.0,78,0,3.6,CA,1675834629
95,codrington,-38.2667,141.9667,18.48,64,45,6.15,AU,1675834905
96,biltine,14.5333,20.9167,18.24,25,92,8.02,TD,1675834906
97,sao raimundo nonato,-9.0153,-42.6994,21.51,74,99,0.38,BR,1675834860
98,rudsar,37.1376,50.288,8.99,88,94,3.04,IR,1675834441
99,port alfred,-33.5906,26.891,21.21,84,100,1.79,ZA,1675834906
100,puerto ayora,-0.7393,-90.3518,25.86,92,31,2.24,EC,1675834349
101,mar del plata,-38.0023,-57.5575,22.83,97,100,8.05,AR,1675834657
102,natal,-5.795,-35.2094,22.36,83,20,2.06,BR,1675834830
103,tuktoyaktuk,69.4541,-133.0374,-30.0,76,100,2.06,CA,1675834907
104,longyearbyen,78.2186,15.6401,-4.09,74,40,6.69,SJ,1675834908
105,port-gentil,-0.7193,8.7815,24.98,94,40,2.57,GA,1675834434
106,hokitika,-42.7167,170.9667,16.68,57,27,7.2,NZ,1675834908
107,guiratinga,-16.3494,-53.7583,20.65,96,90,0.56,BR,1675834909
108,nikolskoye,59.7035,30.7861,-1.06,89,100,3.69,RU,1675834909
109,mala,-12.6581,-76.6308,22.98,86,15,2.07,PE,1675834909
110,todos santos,23.45,-110.2167,17.03,65,99,4.39,MX,1675834910
111,verkhnevilyuysk,63.4453,120.3167,-32.85,94,100,0.33,RU,1675834910
112,arraial do cabo,-22.9661,-42.0278,23.46,92,100,1.14,BR,1675834910
113,georgetown,5.4112,100.3354,31.97,51,20,4.12,MY,1675834636
114,akyab,20.15,92.9,25.59,41,1,3.78,MM,1675834911
115,ahipara,-35.1667,173.1667,20.79,69,34,3.1,NZ,1675834394
116,mumford,5.2618,-0.759,25.31,92,52,2.62,GH,1675834911
117,kolyvan,55.3053,82.7391,-18.01,92,94,2.99,RU,1675834912
118,ojinaga,29.5667,-104.4167,9.12,61,40,6.17,MX,1675834912
119,asau,46.4333,26.4,-6.49,95,99,2.59,RO,1675834912
120,khatanga,71.9667,102.5,-42.78,100,62,1.53,RU,1675834913
121,khasan,42.4308,130.6434,-0.99,42,6,7.2,RU,1675834913
122,tasiilaq,65.6145,-37.6368,-16.91,49,0,7.23,GL,1675834914
123,lompoc,34.6391,-120.4579,11.07,87,20,4.02,US,1675834914
124,khash,28.2211,61.2158,17.62,36,38,11.8,IR,1675834914
125,shangrao,28.4532,117.9686,10.01,93,100,3.75,CN,1675834915
126,butaritari,3.0707,172.7902,27.38,81,100,10.01,KI,1675834915
127,potoru,7.5072,-11.4786,22.37,89,61,1.2,SL,1675834915
128,iskateley,67.6803,53.1512,-0.07,80,78,9.99,RU,1675834916
129,luderitz,-26.6481,15.1594,19.34,76,20,7.32,NA,1675834916
130,fort nelson,58.8053,-122.7002,-12.23,85,0,1.03,CA,1675834916
131,hacari,8.3233,-73.1489,17.99,98,71,1.66,CO,1675834917
132,hithadhoo,-0.6,73.0833,27.4,74,18,3.69,MV,1675834917
133,klaksvik,62.2266,-6.589,7.36,87,100,26.36,FO,1675834358
134,manokwari,-0.8667,134.0833,26.35,85,100,3.17,ID,1675834918
135,katsuura,35.1333,140.3,9.37,76,98,7.96,JP,1675834918
136,port lincoln,-34.7333,135.8667,24.9,50,49,5.21,AU,1675834919
137,tuatapere,-46.1333,167.6833,10.31,81,69,6.52,NZ,1675834919
138,saint-philippe,-21.3585,55.7679,28.77,80,81,6.14,RE,1675834920
139,saint george,37.1041,-113.5841,7.19,55,0,3.09,US,1675834861
140,marsa matruh,31.3525,27.2453,8.11,93,75,2.57,EG,1675834920
141,sitrah,26.1547,50.6206,20.53,61,97,6.17,BH,1675834921
142,kapaa,22.0752,-159.319,24.18,87,100,7.72,US,1675834922
143,puerto escondido,15.85,-97.0667,24.5,66,1,2.18,MX,1675834922
144,ponta do sol,32.6667,-17.1,15.4,71,32,2.87,PT,1675834923
145,castro,-24.7911,-50.0119,15.55,96,37,1.81,BR,1675834923
146,kapoeta,4.7717,33.5903,29.26,26,56,0.82,SS,1675834923
147,bachaquero,9.9694,-71.1494,25.49,75,31,3.24,VE,1675834924
148,bengkulu,-3.8004,102.2655,29.86,57,82,5.17,ID,1675834924
149,suicheng,33.8963,117.9331,12.05,46,100,6.45,CN,1675834476
150,los llanos de aridane,28.6585,-17.9182,11.86,76,40,4.02,ES,1675834377
151,swinoujscie,53.9105,14.2471,-2.92,93,79,3.6,PL,1675834925
152,saskylakh,71.9167,114.0833,-32.56,99,100,1.22,RU,1675834925
153,koumac,-20.5667,164.2833,26.23,88,100,4.63,NC,1675834926
154,nanortalik,60.1432,-45.2371,-15.67,73,17,5.89,GL,1675834927
155,nizhniy kuranakh,58.8353,125.4869,-24.16,85,100,2.49,RU,1675834927
156,esperance,-33.8667,121.9,21.98,67,53,6.71,AU,1675834928
157,noumea,-22.2763,166.4572,31.11,99,99,3.68,NC,1675834892
158,la palma,33.8464,-118.0467,17.19,52,0,1.54,US,1675834928
159,rawson,-43.3002,-65.1023,18.03,56,1,2.2,AR,1675834929
160,glassboro,39.7029,-75.1118,5.36,89,100,0.45,US,1675834929
161,ribeira grande,38.5167,-28.7,13.21,65,56,4.47,PT,1675834930
162,bundaberg,-24.85,152.35,29.56,60,43,3.13,AU,1675834930
